Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
gesteppter-tischlaeufer-frangipani-blueten,,,,,,,,,M (36 cm × 183 cm),,,,,,,,DHOD1-BZ523003,0.0,,0,continue,manual,49.95,154.95,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
gesteppter-tischlaeufer-frangipani-blueten,,,,,,,,,L (36 cm × 275 cm),,,,,,,,,0.0,,0,continue,manual,54.95,169.95,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
gesteppter-tischlaeufer-herzen-und-rosen,Gesteppter Tischläufer - Herzen und Rosen,"<p>Entdecke den Charme unseres gesteppten Tischläufers – gestaltet, um deinem Essbereich einen Hauch von Eleganz und Behaglichkeit zu verleihen!<br></p>
<p><strong>PRODUKTDETAILS:</strong></p>
<ul>
<li>
<strong>Hochwertiges Material:</strong> Unsere Tischläufer werden aus einer hochwertigen Baumwoll-Polyester-Mischung von Jetiy gefertigt und verbinden die Weichheit und Atmungsaktivität der Baumwolle mit der Langlebigkeit und Pflegeleichtigkeit des Polyesters.<br>
</li>
<li>
<strong>Verschiedene Größen:</strong> Damit für jeden Anlass das Passende dabei ist, gibt es unseren Tischläufer in drei praktischen Größen:<br>
</li>
</ul>
<p><strong>S: 36 cm × 122 cm </strong>- Perfekt für kleine Runden.<br><strong>M: 36 cm × 183 cm</strong> - Ideal für Tische in Standardgröße.<br><strong>L: 36 cm × 275 cm </strong>- Passend für festliche Bankette und lange Tafeln.<br></p>
<ul>
<li>
<strong>Vielfältige Designs: </strong>Entdecke unsere große Auswahl an bezaubernden Designs – jedes einzelne gestaltet, um die Atmosphäre bei Tisch mit seinem ganz eigenen Charme zu bereichern.<br>
</li>
<li>
<strong>Pflegeleicht: </strong>Das Leben ist schon kompliziert genug! Deshalb ist unser Tischläufer maschinenwaschbar und trocknergeeignet – das vereinfacht deine Reinigungsroutine.<br>
</li>
</ul>
<p>Alle Produkte werden auf Bestellung gefertigt und nach den besten verfügbaren Standards bedruckt. Werte deine Tischdekoration mit unserem bezaubernden gesteppten Tischläufer auf – dort, wo Stil auf Praktikabilität trifft!<br></p>
<p><strong>Hinweis: </strong>Da jedes unserer Produkte auf Bestellung gefertigt wird, kann es im Vergleich zu den Beispielfotos zu Abweichungen von etwa 20 % bei Farbe, Muster, Verarbeitung und Nähten kommen. Wir garantieren jedoch, dass das Hauptdesign wie abgebildet erhalten bleibt.<br></p>",Emma Frankfurt,,,Tischwäsche,true,Größe,S (36 cm × 122 cm),,,,,,,,DHOD1-BZ523002,0.0,,0,continue,manual,44.95,139.95,true,true,,,,,,https://cdn.shopify.com/s/files/1/1059/9569/8513/files/Blush_Rose_Cottage_Heart_Quilted_Table_Runner_NCU0XD2216_8922a4a3-2be7-429a-a0c8-1656d2653901.jpg?v=1787062397,1,,false,,,,,,,,,,,,,,,,,,,,kg,,,active
gesteppter-tischlaeufer-herzen-und-rosen,,,,,,,,,M (36 cm × 183 cm),,,,,,,,DHOD1-BZ523003,0.0,,0,continue,manual,49.95,154.95,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
gesteppter-tischlaeufer-herzen-und-rosen,,,,,,,,,L (36 cm × 275 cm),,,,,,,,,0.0,,0,continue,manual,54.95,169.95,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
gesteppter-tischlaeufer-koi-traum,Gesteppter Tischläufer - Koi-Traum,"<p>Entdecke den Charme unseres gesteppten Tischläufers – gestaltet, um deinem Essbereich einen Hauch von Eleganz und Behaglichkeit zu verleihen!<br></p>
<p><strong>PRODUKTDETAILS:</strong></p>
<ul>
<li>
<strong>Hochwertiges Material:</strong> Unsere Tischläufer werden aus einer hochwertigen Baumwoll-Polyester-Mischung von Jetiy gefertigt und verbinden die Weichheit und Atmungsaktivität der Baumwolle mit der Langlebigkeit und Pflegeleichtigkeit des Polyesters.<br>
</li>
<li>
<strong>Verschiedene Größen:</strong> Damit für jeden Anlass das Passende dabei ist, gibt es unseren Tischläufer in drei praktischen Größen:<br>
</li>
</ul>
<p><strong>S: 36 cm × 122 cm </strong>- Perfekt für kleine Runden.<br><strong>M: 36 cm × 183 cm</strong> - Ideal für Tische in Standardgröße.<br><strong>L: 36 cm × 275 cm </strong>- Passend für festliche Bankette und lange Tafeln.<br></p>
<ul>
<li>
<strong>Vielfältige Designs: </strong>Entdecke unsere große Auswahl an bezaubernden Designs – jedes einzelne gestaltet, um die Atmosphäre bei Tisch mit seinem ganz eigenen Charme zu bereichern.<br>
</li>
<li>
<strong>Pflegeleicht: </strong>Das Leben ist schon kompliziert genug! Deshalb ist unser Tischläufer maschinenwaschbar und trocknergeeignet – das vereinfacht deine Reinigungsroutine.<br>
</li>
</ul>
<p>Alle Produkte werden auf Bestellung gefertigt und nach den besten verfügbaren Standards bedruckt. Werte deine Tischdekoration mit unserem bezaubernden gesteppten Tischläufer auf – dort, wo Stil auf Praktikabilität trifft!<br></p>
<p><strong>Hinweis: </strong>Da jedes unserer Produkte auf Bestellung gefertigt wird, kann es im Vergleich zu den Beispielfotos zu Abweichungen von etwa 20 % bei Farbe, Muster, Verarbeitung und Nähten kommen. Wir garantieren jedoch, dass das Hauptdesign wie abgebildet erhalten bleibt.<br></p>",Emma Frankfurt,,,Tischwäsche,true,Größe,S (36 cm × 122 cm),,,,,,,,DHOD1-BZ523002,0.0,,0,continue,manual,44.95,139.95,true,true,,,,,,https://cdn.shopify.com/s/files/1/1059/9569/8513/files/Koi_Dream_Quilted_Table_Runner_NCU0DK7519_14156edb-d036-49e4-bac3-c22bdcfa2121.webp?v=1787062398,1,,false,,,,,,,,,,,,,,,,,,,,kg,,,active
gesteppter-tischlaeufer-koi-traum,,,,,,,,,M (36 cm × 183 cm),,,,,,,,DHOD1-BZ523003,0.0,,0,continue,manual,49.95,154.95,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
gesteppter-tischlaeufer-koi-traum,,,,,,,,,L (36 cm × 275 cm),,,,,,,,,0.0,,0,continue,manual,54.95,169.95,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
gesteppter-tischlaeufer-kuerbiszeit,Gesteppter Tischläufer - Kürbiszeit,"<p>Entdecke den Charme unseres gesteppten Tischläufers – gestaltet, um deinem Essbereich einen Hauch von Eleganz und Behaglichkeit zu verleihen!<br></p>
<p><strong>PRODUKTDETAILS:</strong></p>
<ul>
<li>
<strong>Hochwertiges Material:</strong> Unsere Tischläufer werden aus einer hochwertigen Baumwoll-Polyester-Mischung von Jetiy gefertigt und verbinden die Weichheit und Atmungsaktivität der Baumwolle mit der Langlebigkeit und Pflegeleichtigkeit des Polyesters.<br>
</li>
<li>
<strong>Verschiedene Größen:</strong> Damit für jeden Anlass das Passende dabei ist, gibt es unseren Tischläufer in drei praktischen Größen:<br>
</li>
</ul>
<p><strong>S: 36 cm × 122 cm </strong>- Perfekt für kleine Runden.<br><strong>M: 36 cm × 183 cm</strong> - Ideal für Tische in Standardgröße.<br><strong>L: 36 cm × 275 cm </strong>- Passend für festliche Bankette und lange Tafeln.<br></p>
<ul>
<li>
<strong>Vielfältige Designs: </strong>Entdecke unsere große Auswahl an bezaubernden Designs – jedes einzelne gestaltet, um die Atmosphäre bei Tisch mit seinem ganz eigenen Charme zu bereichern.<br>
</li>
<li>
<strong>Pflegeleicht: </strong>Das Leben ist schon kompliziert genug! Deshalb ist unser Tischläufer maschinenwaschbar und trocknergeeignet – das vereinfacht deine Reinigungsroutine.<br>
</li>
</ul>
<p>Alle Produkte werden auf Bestellung gefertigt und nach den besten verfügbaren Standards bedruckt. Werte deine Tischdekoration mit unserem bezaubernden gesteppten Tischläufer auf – dort, wo Stil auf Praktikabilität trifft!<br></p>
<p><strong>Hinweis: </strong>Da jedes unserer Produkte auf Bestellung gefertigt wird, kann es im Vergleich zu den Beispielfotos zu Abweichungen von etwa 20 % bei Farbe, Muster, Verarbeitung und Nähten kommen. Wir garantieren jedoch, dass das Hauptdesign wie abgebildet erhalten bleibt.<br></p>",Emma Frankfurt,,,Tischwäsche,true,Größe,S (36 cm × 122 cm),,,,,,,,DHOD1-BZ523002,0.0,,0,continue,manual,44.95,139.95,true,true,,,,,,https://cdn.shopify.com/s/files/1/1059/9569/8513/files/Pumpkin-Spice-Season-Quilted-Table-Runner-NCU0TL1335.webp?v=1787062399,1,,false,,,,,,,,,,,,,,,,,,,,kg,,,active
gesteppter-tischlaeufer-kuerbiszeit,,,,,,,,,M (36 cm × 183 cm),,,,,,,,DHOD1-BZ523003,0.0,,0,continue,manual,49.95,154.95,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
gesteppter-tischlaeufer-kuerbiszeit,,,,,,,,,L (36 cm × 275 cm),,,,,,,,,0.0,,0,continue,manual,54.95,169.95,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
gesteppter-tischlaeufer-goettliche-gnade,Gesteppter Tischläufer - Göttliche Gnade,"<p>Entdecke den Charme unseres gesteppten Tischläufers – gestaltet, um deinem Essbereich einen Hauch von Eleganz und Behaglichkeit zu verleihen!<br></p>
<p><strong>PRODUKTDETAILS:</strong></p>
<ul>
<li>
<strong>Hochwertiges Material:</strong> Unsere Tischläufer werden aus einer hochwertigen Baumwoll-Polyester-Mischung von Jetiy gefertigt und verbinden die Weichheit und Atmungsaktivität der Baumwolle mit der Langlebigkeit und Pflegeleichtigkeit des Polyesters.<br>
</li>
<li>
<strong>Verschiedene Größen:</strong> Damit für jeden Anlass das Passende dabei ist, gibt es unseren Tischläufer in drei praktischen Größen:<br>
</li>
</ul>
<p><strong>S: 36 cm × 122 cm </strong>- Perfekt für kleine Runden.<br><strong>M: 36 cm × 183 cm</strong> - Ideal für Tische in Standardgröße.<br><strong>L: 36 cm × 275 cm </strong>- Passend für festliche Bankette und lange Tafeln.<br></p>
<ul>
<li>
<strong>Vielfältige Designs: </strong>Entdecke unsere große Auswahl an bezaubernden Designs – jedes einzelne gestaltet, um die Atmosphäre bei Tisch mit seinem ganz eigenen Charme zu bereichern.<br>
</li>
<li>
<strong>Pflegeleicht: </strong>Das Leben ist schon kompliziert genug! Deshalb ist unser Tischläufer maschinenwaschbar und trocknergeeignet – das vereinfacht deine Reinigungsroutine.<br>
</li>
</ul>
<p>Alle Produkte werden auf Bestellung gefertigt und nach den besten verfügbaren Standards bedruckt. Werte deine Tischdekoration mit unserem bezaubernden gesteppten Tischläufer auf – dort, wo Stil auf Praktikabilität trifft!<br></p>
<p><strong>Hinweis: </strong>Da jedes unserer Produkte auf Bestellung gefertigt wird, kann es im Vergleich zu den Beispielfotos zu Abweichungen von etwa 20 % bei Farbe, Muster, Verarbeitung und Nähten kommen. Wir garantieren jedoch, dass das Hauptdesign wie abgebildet erhalten bleibt.<br></p>",Emma Frankfurt,,,Tischwäsche,true,Größe,S (36 cm × 122 cm),,,,,,,,DHOD1-BZ523002,0.0,,0,continue,manual,44.95,139.95,true,true,,,,,,https://cdn.shopify.com/s/files/1/1059/9569/8513/files/25_9d6f9f4c-56bf-447d-b544-c4f9b911e86c.webp?v=1787062399,1,,false,,,,,,,,,,,,,,,,,,,,kg,,,active
gesteppter-tischlaeufer-goettliche-gnade,,,,,,,,,M (36 cm × 183 cm),,,,,,,,DHOD1-BZ523003,0.0,,0,continue,manual,49.95,154.95,true,true,,,,,,https://cdn.shopify.com/s/files/1/1059/9569/8513/files/DivineMangerQuiltedTableRunnerNCU0NT1426_1.webp?v=1787062398,2,,,,,,,,,,,,,,,,,,,,,,kg,,,
gesteppter-tischlaeufer-goettliche-gnade,,,,,,,,,L (36 cm × 275 cm),,,,,,,,,0.0,,0,continue,manual,54.95,169.95,true,true,,,,,,https://cdn.shopify.com/s/files/1/1059/9569/8513/files/DivineMangerQuiltedTableRunnerNCU0NT1426_2.webp?v=1787062398,3,,,,,,,,,,,,,,,,,,,,,,kg,,,
gesteppter-tischlaeufer-goettliche-gnade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1059/9569/8513/files/DivineMangerQuiltedTableRunnerNCU0NT1426_3.webp?v=1787062398,4,,,,,,,,,,,,,,,,,,,,,,,,,
gesteppter-tischlaeufer-schwarzbaerenfamilie,Gesteppter Tischläufer - Schwarzbärenfamilie,"<p>Entdecke den Charme unseres gesteppten Tischläufers – gestaltet, um deinem Essbereich einen Hauch von Eleganz und Behaglichkeit zu verleihen!<br></p>
<p><strong>PRODUKTDETAILS:</strong></p>
<ul>
<li>
<strong>Hochwertiges Material:</strong> Unsere Tischläufer werden aus einer hochwertigen Baumwoll-Polyester-Mischung von Jetiy gefertigt und verbinden die Weichheit und Atmungsaktivität der Baumwolle mit der Langlebigkeit und Pflegeleichtigkeit des Polyesters.<br>
</li>
<li>
<strong>Verschiedene Größen:</strong> Damit für jeden Anlass das Passende dabei ist, gibt es unseren Tischläufer in drei praktischen Größen:<br>
</li>
</ul>
<p><strong>S: 36 cm × 122 cm </strong>- Perfekt für kleine Runden.<br><strong>M: 36 cm × 183 cm</strong> - Ideal für Tische in Standardgröße.<br><strong>L: 36 cm × 275 cm </strong>- Passend für festliche Bankette und lange Tafeln.<br></p>
<ul>
<li>
<strong>Vielfältige Designs: </strong>Entdecke unsere große Auswahl an bezaubernden Designs – jedes einzelne gestaltet, um die Atmosphäre bei Tisch mit seinem ganz eigenen Charme zu bereichern.<br>
</li>
<li>
<strong>Pflegeleicht: </strong>Das Leben ist schon kompliziert genug! Deshalb ist unser Tischläufer maschinenwaschbar und trocknergeeignet – das vereinfacht deine Reinigungsroutine.<br>
</li>
</ul>
<p>Alle Produkte werden auf Bestellung gefertigt und nach den besten verfügbaren Standards bedruckt. Werte deine Tischdekoration mit unserem bezaubernden gesteppten Tischläufer auf – dort, wo Stil auf Praktikabilität trifft!<br></p>
<p><strong>Hinweis: </strong>Da jedes unserer Produkte auf Bestellung gefertigt wird, kann es im Vergleich zu den Beispielfotos zu Abweichungen von etwa 20 % bei Farbe, Muster, Verarbeitung und Nähten kommen. Wir garantieren jedoch, dass das Hauptdesign wie abgebildet erhalten bleibt.<br></p>",Emma Frankfurt,,,Tischwäsche,true,Größe,S (36 cm × 122 cm),,,,,,,,DHOD1-BZ523002,0.0,,0,continue,manual,44.95,139.95,true,true,,,,,,https://cdn.shopify.com/s/files/1/1059/9569/8513/files/BlackBearFamilyQuiltedTableRunnerNCU0DV4206.webp?v=1787062398,1,,false,,,,,,,,,,,,,,,,,,,,kg,,,active
